index,ComplexClass,ClassDataShouldBePrivate,InappropriatIntimacy,LargeClass,LazyClass,MiddleMan,RefusedBequest,SpaghettiCode,SpeculativeGenerality,Blob,DataClass,Anti-singleton,SwissArmyKnife,DispersedCoupling,ShotgunSurgery,Comments,FeatureEnvy,LongMethod,LongParameterList,MessageChains,Non-smell
783,0.0,0.116679821,0.12554313842381087,0.03707907817177452,0.001183899,0.0,0.005749246674473995,0.0593265137998391,0.0,0.0,0.1240469576316995,0.030209650664682196,0.007730768988911244,0.0,0.019081171434703115,0.0,0.0,0.029479077515025615,0.01410324000127902,0.0,0.765255853
784,0.0,0.005942555,0.017751016041071942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009558239486269254,0.0,0.0,0.0,0.004911668543291736,0.0,0.0,0.0026773125127172344,0.0,0.0,0.9700757
785,0.0,0.021133302,0.057871156487890096,0.06546095949461841,0.001393405,0.0,0.0,0.013092191898923683,0.0,0.0,0.030976677355907232,0.038095307460072135,0.034120533457704695,0.0,0.022457820819317523,0.0,0.0,0.030970905522111798,0.004369086270732162,0.0,0.862907487
786,0.0,1.0,0.0034319476959891885,0.0,0.928507596,0.0,0.062170525932557896,0.0,0.0,1.0,0.0009805566322821512,0.08795627338347727,0.04179888029336659,0.0,0.04819546676932747,0.0,0.0,0.014301319192931265,0.0,0.0,0.915291837
787,0.0,0.199351702,0.0059198285026337,0.07172394019085983,0.939222042,0.0,0.11121088678581037,0.03586194190792959,0.0,0.0,0.0006577583778492945,0.1329323052321346,0.1308475163565052,0.15028628066471866,0.058774336164388485,0.0,0.05643137884013796,0.06912197020332936,0.0,0.0,0.947890687
788,0.0,0.039093041,0.003392175013583692,0.05043989694875383,0.088350274,0.0,0.05213945760562128,0.033626616757502774,0.0,0.0,0.0003083791706906328,0.11542972974631091,0.07887309648667551,0.0845511351552713,0.042893328595785415,0.0,0.024424480628860195,0.03889550493475365,0.0,0.0,0.874340243
789,0.0,0.038910506,0.003365078096513149,0.05003698481917071,0.089494163,0.0,0.077584410810825,0.03335798987944714,0.0,0.0,0.0003059161905921045,0.11489076498580723,0.07824306095538669,0.08387574365003701,0.04269304846805313,0.0,0.024183845351728565,0.038496904682860295,0.0,0.0,0.872966026
790,0.0,0.038910506,0.003365078096513149,0.05003698481917071,0.089494163,0.0,0.077584410810825,0.03335798987944714,0.0,0.0,0.000611832381184209,0.11489076498580723,0.07824306095538669,0.08387574365003701,0.04341666122415735,0.0,0.024183845351728565,0.03848064430778306,0.0,0.0,0.872965859
791,0.0,0.038812785,0.0035985959073660608,0.06540024361892778,0.088280061,0.0,0.07605431155257938,0.032700093621963564,0.0,0.0,0.0005997656398954492,0.11235512410378819,0.07669998666526169,0.08222156838721714,0.045996658909562074,0.0,0.02366246891794337,0.040551312192618726,0.0,0.0,0.871340553
792,0.0,0.002831715,0.043919761853275514,0.02280543538441183,0.000809061,0.1553398030291263,0.0,0.02280543538441183,0.0,0.0,0.00418283401907528,0.22561925092362675,0.21396563187177586,0.0,0.06093612522844523,0.0,0.0,0.0823784006412974,0.006338844584480665,0.0,0.964621312
