Classlongname,LOC,NOPA,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,WOC,WMCNAMM,LOCNAMM,NOMNAMM,NOAM,TCC,PK_CountDeclClassMethod,NumberOfTokens,NumberOfIdentifies,NumberOfReturnAndPrintStatements,NumberOfConditionalJumpStatements,NumberOfKeywords,NumberOfAssignments,NumberOfOperatorsWithoutAssignments,NumberOfUniqueIdentifiers,NumberOfDots,NumberOfNewStatements,MinLineCode,CountLineCodeNAMM,LogStmtDecl,CSNOMNAMM,NIM,RFC,CFNAMM,DAC,NMO,NOII,LogCyclomaticStrict,FANIN,FANOUT,ATFD,NumberOfMethodCalls,SumCountPath,NumberOfClassConstructors,AvgLineCodeExe,AvgStmtDecl,NumberOfDepends,label
Eclipse3.3.1__org.eclipse.team.internal.ccvs.ui.CVSProjectPropertiesPage.RepositorySelectionDialog.createDialogArea.(Anon_3),4.0,0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,3,3,0.3010299956639812,1,0,0,0,0,1,12,0.3010299956639812,0,1,0,0,1,0,2.0,1.0,3,0
Eclipse2.1.2__org.eclipse.team.internal.ccvs.ui.merge.MergeWizardEndPage.createControl.(Anon_1),8.0,0,2.0,2.0,3.0,1.0,7.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,6.0,0.0,3.0,5.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,8.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,7,7,0.4771212547196624,1,0,0,0,0,1,1,0.6020599913279624,3,2,0,0,2,0,5.0,2.0,3,0
Eclipse3.3.1__org.eclipse.ui.internal.net.ProxyPreferencePage.Entry.addProtocolEntry.(Anon_5),4.0,0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,3,3,0.3010299956639812,1,0,0,0,0,1,12,0.3010299956639812,0,1,0,0,1,0,2.0,1.0,3,0
argouml-VERSION_0_24__org.argouml.notation.Notation,241.0,11,1.0,1.0,1.0,1.0,10.0,0.0,5.0,5.0,2.0,8.0,0.0,8.0,14.0,2.0,0.0,10.0,10.0,0.0,1.0,0.0,9.0,29.0,88.0,41.0,51.0,124.0,37.0,49.0,27.0,22.0,2.0,2.0,2.0,1.0,1.0,1.0,90.0,1.41,11.0,11.0,11.0,10.0,0.2,5.0,188.0,5.0,5.0,0.0833333333333333,19.0,0,0,0,0,0,0,0,0,0,0,3,29,1.1139433523068367,5,0,13,12,14,0,0,1.0791812460476249,52,26,1,7,11,1,3.4,1.2,8,1
Eclipse2.1.1__org.eclipse.team.internal.ccvs.core.client.ByteCountOutputStream,21.0,0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,9.0,4.0,3.0,10.0,3.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.11,2.0,2.0,2.0,2.0,0.5,1.0,18.0,1.0,1.0,0.0,20.0,0,0,0,0,0,0,0,0,0,0,3,3,0.4771212547196624,1,0,0,0,0,0,1,0.4771212547196624,3,2,0,0,2,0,1.0,1.0,0,0
argouml-VERSION_0_26__org.argouml.uml.ui.PropPanel.TargettableButton,15.0,0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,12.0,4.0,4.0,0.0,3.0,7.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,0.5,1.0,9.0,1.0,1.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,3,3,0.4771212547196624,1,0,0,0,0,1,13,0.6020599913279624,2,3,0,0,3,1,2.0,1.0,2,0
argouml-VERSION_0_18_1__org.argouml.uml.cognitive.critics.WizNavigable,115.0,0,2.0,2.0,3.0,1.0,15.0,0.0,10.0,5.0,1.0,5.0,0.0,0.0,1.0,6.0,5.0,6.0,34.0,0.0,0.0,0.0,6.0,12.0,74.0,28.0,50.0,36.0,37.0,55.0,23.0,32.0,5.0,5.0,7.0,4.0,3.0,2.0,73.0,0.49,17.0,17.0,23.0,9.0,0.6666666666666666,13.0,85.0,4.0,2.0,0.2666666666666666,5.0,0,0,0,0,0,0,0,0,0,0,1,44,1.230448921378274,4,28,1,0,2,3,0,1.380211241711606,13,32,2,1,22,1,7.333333333333333,2.6666666666666665,7,1
Eclipse3.3.1__org.eclipse.ui.internal.progress.VirtualInfoItem.setLinkText.(Anon_5),10.0,0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.25,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,3,3,0.3010299956639812,1,0,0,0,0,1,12,0.3010299956639812,1,2,0,0,1,0,2.0,1.0,4,0
argouml-VERSION_0_26__org.argouml.cognitive.ui.ToDoTreeRenderer,119.0,0,12.0,12.0,12.0,5.0,40.0,3.0,37.0,0.0,1.0,11.0,0.0,1.0,0.0,1.0,13.0,2.0,2.0,0.0,1.0,0.0,1.0,15.0,89.0,28.0,73.0,16.0,48.0,73.0,23.0,50.0,23.0,23.0,23.0,10.0,2.0,4.0,50.0,0.18,24.0,24.0,24.0,11.0,0.0,1.0,41.0,1.0,1.0,0.0,12.0,0,0,0,0,0,0,0,0,0,0,3,3,1.0,1,0,0,0,13,0,13,1.3979400086720375,21,20,6,1,43,0,30.0,4.5,11,0
Eclipse3.3.1__org.eclipse.team.internal.ccvs.core.util.MoveDeleteHook.moveFile.(Anon_3),14.0,0,2.0,2.0,2.0,1.0,13.0,0.0,13.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,11.0,0.0,6.0,9.0,1.0,8.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,14.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,13,13,0.3010299956639812,1,0,0,0,0,1,12,0.4771212547196624,5,8,0,0,2,0,10.0,1.0,7,0
Eclipse2.1.2__org.eclipse.ui.internal.dialogs.WelcomeEditorInput.getPersistable.(Anon_1),7.0,0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,5.0,0.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.5,1.0,4.0,1.0,1.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,3,3,0.4771212547196624,1,0,0,0,0,2,1,0.4771212547196624,4,3,0,0,2,0,2.0,1.0,4,0
Eclipse3.3.1__org.eclipse.jdt.internal.debug.ui.launcher.SelectDefaultSystemLibraryQuickFix.run.(Anon_1),8.0,0,2.0,2.0,2.0,1.0,7.0,0.0,7.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,6.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,8.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,7,7,0.3010299956639812,1,0,0,0,0,1,12,0.4771212547196624,2,1,0,0,2,0,5.0,1.0,4,0
Eclipse2.1.1__org.eclipse.jface.wizard.ProgressMonitorPart.(Anon_1),6.0,0,2.0,2.0,2.0,1.0,5.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,5.0,0.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,5,5,0.3010299956639812,1,0,0,0,0,1,1,0.4771212547196624,1,2,0,0,2,0,4.0,1.0,4,0
Eclipse3.3.1__org.apache.lucene.demo.html.ParseException,191.0,3,5.0,3.0,5.0,1.0,27.0,0.0,20.0,11.0,1.0,1.0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,0.0,0.0,1.0,4.0,13.0,110.0,22.0,77.0,89.0,67.0,85.0,23.0,62.0,12.0,10.0,13.0,4.0,2.0,3.0,56.0,0.81,25.0,17.0,26.0,8.0,0.4285714285714285,15.0,142.0,4.0,1.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,4,63,1.230448921378274,4,0,1,0,3,0,12,1.4313637641589874,23,20,2,1,106,3,15.0,3.2,1,0
Eclipse2.0__org.eclipse.team.internal.ccvs.ui.actions.CheckoutAsAction.execute.(Anon_2),62.0,0,8.0,8.0,8.0,6.0,61.0,7.0,49.0,9.0,1.0,26.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,7.0,50.0,10.0,43.0,9.0,30.0,39.0,11.0,28.0,8.0,8.0,8.0,6.0,2.0,2.0,0.0,0.18,8.0,8.0,8.0,6.0,1.0,8.0,62.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,49,49,1.0791812460476249,1,0,0,0,0,1,1,0.9542425094393248,5,31,8,0,8,0,42.0,11.0,25,0
Eclipse2.1.2__org.eclipse.jdt.internal.core.index.impl.IndexSummary.FirstWordInBlock,7.0,0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,4.0,1.0,1.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.14,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,3,3,0.3010299956639812,1,0,0,0,1,0,1,0.3010299956639812,2,1,0,0,1,0,1.0,1.0,0,0
Eclipse2.1.2__org.eclipse.jdt.internal.debug.ui.actions.JavaBreakpointPreferencePage.BreakpointConditionFieldEditor.doFillIntoGrid.(Anon_3),4.0,0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,3,3,0.3010299956639812,1,0,0,0,0,1,1,0.3010299956639812,0,1,0,0,1,0,2.0,1.0,3,0
argouml-VERSION_0_22__org.argouml.model.UndoCommonBehaviorHelperDecorator,18.0,0,1.0,1.0,1.0,1.0,8.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,34.0,1.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,11.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.83,1.0,1.0,1.0,1.0,0.0,1.0,18.0,1.0,0.0,0.0,67.0,0,0,0,0,0,0,0,0,0,0,3,3,0.3010299956639812,1,33,0,0,0,0,0,0.3010299956639812,1,2,0,0,1,1,1.0,1.0,2,0
Eclipse2.0__org.eclipse.ui.actions.DeleteResourceAction.DeleteProjectDialog.(Anon_1),7.0,0,2.0,2.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,5.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,7.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,6,6,0.4771212547196624,1,0,0,0,0,1,1,0.4771212547196624,3,2,1,0,2,0,4.0,2.0,5,0
Eclipse2.1.1__org.eclipse.jface.text.PropagatingFontFieldEditor,115.0,0,2.0,2.0,2.0,1.0,12.0,0.0,6.0,5.0,1.0,6.0,1.0,2.0,0.0,4.0,2.0,6.0,69.0,0.0,2.0,2.0,2.0,8.0,45.0,12.0,25.0,64.0,19.0,33.0,13.0,20.0,3.0,3.0,3.0,1.0,3.0,2.0,66.0,1.42,12.0,12.0,12.0,6.0,1.0,12.0,115.0,6.0,0.0,0.0,22.0,0,0,0,0,0,0,0,0,0,0,4,41,1.0413926851582251,6,63,0,0,1,2,1,1.1139433523068367,20,21,2,0,11,1,4.166666666666667,1.6666666666666667,8,0
rhino-Rhino1_5R3_RELEASE__org.mozilla.javascript.tools.debugger.FindFunction.MouseHandler,7.0,0,2.0,2.0,2.0,1.0,5.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,2.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,7.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,5,5,0.3010299956639812,1,0,0,0,0,0,0,0.4771212547196624,2,2,0,0,2,0,2.0,1.0,1,0
Eclipse2.0__org.eclipse.pde.internal.ui.editor.manifest.ResourceAttributeValue,18.0,0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,4.0,1.0,17.0,7.0,5.0,0.0,7.0,12.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,50.0,0.0,4.0,4.0,4.0,4.0,0.5,2.0,12.0,2.0,2.0,0.0,9.0,0,0,0,0,0,0,0,0,0,0,3,7,0.6989700043360189,2,0,0,0,1,0,1,0.6989700043360189,11,7,0,0,4,1,1.25,1.0,1,0
Eclipse3.3.1__org.eclipse.swt.awt.SWT_AWT.new_Frame.(Anon_1).handleEvent.(Anon_2),4.0,0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,3,3,0.3010299956639812,1,0,0,0,0,0,12,0.3010299956639812,3,4,0,0,1,0,2.0,1.0,0,0
Eclipse3.3.1__org.eclipse.pde.internal.core.ant.PluginExportTask,44.0,0,2.0,2.0,2.0,1.0,14.0,0.0,13.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,1.0,2.0,12.0,0.0,0.0,1.0,1.0,3.0,30.0,10.0,22.0,12.0,18.0,24.0,10.0,14.0,3.0,3.0,3.0,1.0,3.0,2.0,0.0,0.4,5.0,5.0,5.0,2.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,11,0,0.9542425094393248,0,10,0,0,1,1,12,0.7781512503836436,8,22,5,0,5,0,10.5,4.0,6,0
argouml-VERSION_0_16__java.io.InputStream,16.0,0,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,12.0,3.0,7.0,1.0,4.0,8.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.07,3.0,3.0,3.0,2.0,1.0,0.0,15.0,0.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
argouml-VERSION_0_14__VetoableChangeListener,16.0,0,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,12.0,3.0,7.0,1.0,4.0,8.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.07,3.0,3.0,3.0,2.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
argouml-VERSION_0_14__ru.novosoft.uml.foundation.data_types.MCallConcurrencyKind,16.0,0,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,12.0,3.0,7.0,1.0,4.0,8.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.07,3.0,3.0,3.0,2.0,1.0,0.0,15.0,0.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
argouml-VERSION_0_26_2_2__org.argouml.model.euml.CoreHelperEUMLImpl.setChild.(Anon_17),4.0,0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,3,3,0.3010299956639812,1,0,0,0,0,0,13,0.3010299956639812,2,1,0,0,1,0,2.0,1.0,1,0
argouml-VERSION_0_12__org.argouml.xml.SAXParserBase,200.0,0,2.0,2.0,2.0,1.0,13.0,0.0,9.0,3.0,1.0,5.0,0.0,0.0,1.0,6.0,0.0,7.0,19.0,0.0,0.0,0.0,5.0,17.0,79.0,25.0,52.0,30.0,40.0,57.0,22.0,35.0,5.0,5.0,6.0,3.0,3.0,2.0,72.0,0.41,16.0,16.0,18.0,10.0,0.6666666666666666,10.0,100.0,4.0,2.0,0.1428571428571428,2.0,0,0,0,0,0,0,0,0,0,0,1,108,1.6232492903979006,11,0,0,0,2,0,0,1.5440680443502757,37,65,8,0,35,1,5.375,2.5625,2,1
Eclipse2.1.2__org.eclipse.pde.internal.ui.feature.BuildFeatureAction.run.(Anon_1),17.0,0,2.0,2.0,2.0,1.0,16.0,0.0,16.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,3.0,12.0,0.0,5.0,9.0,3.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,17.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,16,16,0.6020599913279624,1,0,0,0,0,1,1,0.4771212547196624,2,3,1,0,2,0,11.0,3.0,7,0
Eclipse3.3.1__org.eclipse.ui.internal.browser.BusyIndicator,153.0,0,1.0,1.0,2.0,1.0,13.0,0.0,10.0,3.0,1.0,6.0,0.0,0.0,0.0,9.0,4.0,9.0,461.0,0.0,0.0,2.0,7.0,16.0,95.0,16.0,61.0,43.0,40.0,68.0,21.0,47.0,4.0,4.0,4.0,1.0,6.0,2.0,66.0,0.45,16.0,16.0,18.0,9.0,0.5714285714285714,9.0,121.0,6.0,3.0,0.0952380952380952,44.0,0,0,0,0,0,0,0,0,0,0,3,70,1.230448921378274,6,452,0,0,3,2,12,1.2787536009528289,24,26,2,0,16,1,6.777777777777778,1.7777777777777777,11,0
Eclipse2.1.2__org.eclipse.ui.internal.PartListenerList2.firePartActivated.(for_loop_1).(Anon_1),10.0,0,1.0,1.0,1.0,1.0,4.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,6.0,2.0,3.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.25,2.0,2.0,2.0,2.0,1.0,2.0,10.0,2.0,0.0,1.0,8.0,0,0,0,0,0,0,0,0,0,0,3,7,0.4771212547196624,2,0,0,0,0,2,1,0.4771212547196624,2,3,0,0,2,0,2.5,1.0,3,0
Eclipse2.1.2__org.eclipse.update.internal.ui.views.UpdatesView.makeActions.(Anon_1),4.0,0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,54.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,3,3,0.3010299956639812,1,0,0,0,0,1,1,0.3010299956639812,0,1,0,0,1,0,2.0,1.0,2,0
Eclipse2.1.2__org.eclipse.debug.internal.ui.views.AbstractDebugEventHandler.handleDebugEvents.(Anon_1),9.0,0,3.0,3.0,3.0,1.0,8.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,6.0,0.0,2.0,5.0,1.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,3.0,9.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,8,8,0.3010299956639812,1,0,0,0,0,0,1,0.6020599913279624,1,4,0,0,3,0,5.0,1.0,1,0
Eclipse3.3.1__org.eclipse.jdt.internal.corext.fix.ControlStatementsFix.IfElseIterator,34.0,0,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,4.0,4.0,0.0,1.0,0.0,3.0,8.0,26.0,7.0,13.0,0.0,10.0,18.0,7.0,11.0,3.0,3.0,3.0,1.0,1.0,1.0,25.0,0.0,7.0,7.0,7.0,4.0,1.0,7.0,34.0,4.0,0.0,0.3333333333333333,8.0,0,0,0,0,0,0,0,0,0,0,3,23,0.7781512503836436,4,0,0,0,1,0,12,0.9030899869919436,10,11,1,0,7,1,3.25,1.25,2,0
Eclipse3.3.1__org.eclipse.jface.action.ActionContributionItem.getToolItemListener.(Anon_6),15.0,0,4.0,3.0,4.0,1.0,14.0,0.0,14.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,12.0,0.0,5.0,8.0,2.0,6.0,4.0,3.0,4.0,1.0,1.0,2.0,0.0,0.0,4.0,3.0,4.0,1.0,1.0,4.0,15.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,14,14,0.4771212547196624,1,0,0,0,0,1,12,0.6989700043360189,5,3,1,0,4,0,11.0,2.0,6,0
rhino-Rhino1_6R1_RELEASE__org.mozilla.javascript.JavaScriptException,64.0,0,1.0,1.0,1.0,1.0,8.0,0.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,6.0,1.0,6.0,19.0,0.0,0.0,0.0,6.0,6.0,32.0,8.0,9.0,26.0,9.0,17.0,8.0,9.0,2.0,2.0,2.0,1.0,3.0,1.0,50.0,0.81,7.0,7.0,7.0,6.0,0.5,4.0,43.0,3.0,3.0,0.1333333333333333,507.0,0,0,0,0,0,0,0,0,0,0,4,16,0.8450980400142568,3,13,0,0,1,1,0,0.9030899869919436,9,13,0,0,7,2,1.5,1.0,3,0
Eclipse3.3.1__org.eclipse.jdt.internal.corext.refactoring.structure.IntroduceParameterObjectRefactoring.ParameterObjectCreator.importNodeTypes.(Anon_1),5.0,0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,4.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,8.0,0,0,0,0,0,0,0,0,0,0,4,4,0.3010299956639812,1,0,0,0,0,1,12,0.3010299956639812,2,2,0,0,1,0,3.0,1.0,3,0
rhino-Rhino1_6R6_RELEASE__PrimitiveWrapFactory,32.0,0,3.0,3.0,5.0,3.0,13.0,0.0,13.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,15.0,4.0,7.0,16.0,4.0,8.0,3.0,5.0,3.0,3.0,5.0,3.0,2.0,1.0,0.0,1.07,3.0,3.0,5.0,3.0,1.0,3.0,32.0,1.0,0.0,0.0,531.0,0,0,0,0,0,0,0,0,0,0,13,13,0.4771212547196624,1,5,0,0,0,1,0,0.7781512503836436,4,3,1,0,3,0,7.0,2.0,3,0
argouml-VERSION_0_10_1__LayerPerspectiveMutable,16.0,0,1.0,1.0,1.0,1.0,6.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,12.0,3.0,7.0,1.0,4.0,8.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.07,3.0,3.0,3.0,2.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
