Classlongname,LOC,NOPA,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,WOC,WMCNAMM,LOCNAMM,NOMNAMM,NOAM,TCC,PK_CountDeclClassMethod,NumberOfTokens,NumberOfIdentifies,NumberOfReturnAndPrintStatements,NumberOfConditionalJumpStatements,NumberOfKeywords,NumberOfAssignments,NumberOfOperatorsWithoutAssignments,NumberOfUniqueIdentifiers,NumberOfDots,NumberOfNewStatements,MinLineCode,CountLineCodeNAMM,LogStmtDecl,CSNOMNAMM,NIM,RFC,CFNAMM,DAC,NMO,NOII,LogCyclomaticStrict,FANIN,FANOUT,ATFD,NumberOfMethodCalls,SumCountPath,NumberOfClassConstructors,AvgLineCodeExe,AvgStmtDecl,NumberOfDepends,label
lucene-solr-releases-lucene-solr-3.1__org.apache.lucene.index.IndexWriter.MaxFieldLength,53,2.0,1.0,1.0,1.0,1.0,6.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,4.0,4.0,0.0,1.0,0.0,3.0,7.0,23.0,12.0,7.0,23.0,9.0,14.0,9.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,37.0,1.0,4.0,4.0,4.0,4.0,0.4,3.0,50.0,3.0,1.0,0.3333333333333333,7.0,0,0,0,0,0,0,0,0,0,0,3,11,0.6989700043360189,3,0,0,0,2,0,25,0.6989700043360189,12,7,0,1,4,2,1.25,1.0,0,0
eclipse.jdt.core-R3_4_1__org.eclipse.jdt.internal.core.index.DiskIndex,1260,2.0,8.0,8.0,9.0,1.0,36.0,1.0,31.0,5.0,1.0,14.0,0.0,0.0,10.0,33.0,18.0,33.0,33.0,9.0,24.0,0.0,0.0,59.0,1089.0,233.0,863.0,193.0,699.0,963.0,280.0,683.0,26.0,25.0,27.0,8.0,1.0,6.0,78.0,0.18,278.0,264.0,297.0,59.0,0.0,278.0,1260.0,33.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,3,1040,2.39093510710338,33,0,1,1,10,0,99,2.474216264076256,303,263,16,2,4624,1,25.51515151515152,7.424242424242424,14,0
elasticsearch-0.19.0__org.elasticsearch.action.admin.indices.stats.ShardStats,59,0.0,1.0,1.0,1.0,1.0,4.0,0.0,3.0,0.0,1.0,5.0,0.0,1.0,0.0,8.0,2.0,9.0,17.0,2.0,0.0,0.0,7.0,11.0,40.0,15.0,16.0,8.0,18.0,28.0,13.0,15.0,1.0,1.0,1.0,1.0,2.0,0.0,55.0,0.2,9.0,9.0,9.0,9.0,0.7142857142857143,7.0,50.0,7.0,2.0,0.0952380952380952,2.0,0,0,0,0,0,0,0,0,0,0,2,28,1.0413926851582251,7,8,0,0,2,2,53,1.0,30,24,1,0,9,2,1.7777777777777777,1.1111111111111112,7,0
pig-release-0.6.0__org.apache.pig.piggybank.evaluation.math.TAN,33,0.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,21.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,28.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,5.6,1.0,1.0,1.0,1.0,0.0,1.0,33.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,3,3,0.3010299956639812,1,20,0,0,0,1,6,0.3010299956639812,1,2,0,0,1,0,1.0,1.0,1,0
jboss-3.2.7-src__org.jboss.ejb.plugins.cmp.ejbql.ASTSubstring,36,0.0,1.0,1.0,1.0,1.0,6.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,15.0,0.0,0.0,0.0,3.0,3.0,19.0,7.0,4.0,14.0,5.0,9.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,33.0,0.74,3.0,3.0,3.0,3.0,1.0,3.0,36.0,3.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,4,13,0.6020599913279624,3,12,0,0,1,2,4,0.6020599913279624,6,9,0,0,3,1,1.3333333333333333,1.0,4,0
hive-release-0.4.0__org.apache.hadoop.hive.ql.optimizer.GenMRTableScan1,55,0.0,2.0,2.0,2.0,2.0,15.0,1.0,11.0,3.0,2.0,11.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,25.0,11.0,17.0,26.0,15.0,21.0,12.0,9.0,3.0,3.0,3.0,3.0,1.0,2.0,0.0,1.04,4.0,4.0,4.0,4.0,1.0,4.0,55.0,2.0,0.0,0.0,66.0,0,0,0,0,0,0,0,0,0,0,2,23,1.0791812460476249,2,0,0,0,0,1,5,0.6989700043360189,6,30,6,0,4,1,8.5,5.5,12,0
eclipse.jdt.core-R3_6_1__org.eclipse.jdt.apt.core.internal.util.InputStreamAnnotationScanner,25,0.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,4.0,10.0,5.0,2.0,11.0,3.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.1,2.0,2.0,2.0,2.0,1.0,1.0,22.0,1.0,1.0,0.0,58.0,0,0,0,0,0,0,0,0,0,0,3,3,0.4771212547196624,1,3,0,0,1,1,99,0.4771212547196624,3,4,0,0,2,1,1.0,1.0,1,0
wicket-wicket-1.4.15__org.apache.wicket.markup.html.autolink.MyPage,15,0.0,1.0,1.0,1.0,1.0,6.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,350.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,1.0,7.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3,3,0.3010299956639812,1,349,0,0,0,0,39,0.3010299956639812,0,1,0,0,1,1,0.0,1.0,1,0
eclipse.jdt.core-R2_1_3__org.eclipse.jdt.internal.compiler.codegen.ResetStateForCodeGenerationVisitor,48,0.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,8.0,0.0,0.0,0.0,7.0,0.0,7.0,158.0,0.0,0.0,0.0,7.0,7.0,31.0,9.0,14.0,10.0,14.0,22.0,8.0,14.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.32,7.0,7.0,7.0,7.0,1.0,7.0,48.0,7.0,0.0,0.0,4.0,0,0,0,0,0,0,0,0,0,0,4,28,0.9030899869919436,7,151,0,0,0,6,0,0.9030899869919436,7,14,0,0,7,0,2.0,1.0,9,0
apache-cassandra-0.4.0-incubating-src__org.apache.cassandra.io.FastBufferedInputStream,478,0.0,3.0,3.0,3.0,2.0,25.0,0.0,12.0,13.0,1.0,0.0,0.0,0.0,2.0,14.0,5.0,14.0,14.0,0.0,4.0,0.0,10.0,25.0,184.0,39.0,104.0,278.0,80.0,122.0,38.0,84.0,8.0,8.0,9.0,7.0,2.0,3.0,72.0,1.51,46.0,46.0,48.0,31.0,1.0,42.0,456.0,12.0,2.0,0.2888888888888888,20.0,0,0,0,0,0,0,0,0,0,0,4,159,1.4913616938342726,12,0,0,0,2,0,7,1.6901960800285136,52,45,2,1,55,2,7.142857142857143,2.142857142857143,0,0
